run,a,Rs,Rp,fitness,nfes
1,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
2,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
3,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
4,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
5,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
6,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
7,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
8,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
9,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
10,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
11,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
12,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
13,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
14,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
15,1.3153931029144348,0.7721957876767923,72.76671604281013,4.160272048117853e-11,3220
16,1.7729741184909833,1.0,200.0,7.481600694452305e-11,13560
17,1.7729741184909833,1.0,200.0,7.481600694452305e-11,13560
18,1.7729741184909833,1.0,200.0,7.481600694452305e-11,13560
19,1.7729741184909833,1.0,200.0,7.481600694452305e-11,13560
20,1.7729741184909833,1.0,200.0,7.481600694452305e-11,13560
21,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
22,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
23,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
24,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
25,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
26,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
27,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
28,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
29,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
30,1.6013993198626477,0.8827692749361755,104.3033083546227,6.714332266665473e-11,40
